Mouse,Time,Injx
8709,2015-11-04 19:49:00,PBS
8710,2015-11-04 19:50:00,PBS
Lslash2,2015-11-04 19:52:00,PBS
8702,2015-11-04 19:53:00,PBS
8718,2015-11-04 19:54:00,PBS
Rslash,2015-11-04 19:56:00,PBS
8708,2015-11-04 19:57:00,PBS
8866,2015-11-04 20:00:00,PBS
Lslash1,2015-11-04 20:01:00,PBS
8717,2015-11-04 20:02:00,PBS
8714,2015-11-04 20:03:00,PBS
8705,2015-11-04 20:05:00,PBS
8715,2015-11-04 20:06:00,PBS
8709,2015-11-05 19:49:00,CNO
8710,2015-11-05 19:51:00,CNO
Lslash2,2015-11-05 19:52:00,CNO
8702,,CNO
8718,2015-11-05 20:06:00,CNO
Rslash,2015-11-05 20:07:00,CNO
8708,2015-11-05 20:08:00,CNO
8866,2015-11-05 20:10:00,CNO
Lslash1,2015-11-05 20:12:00,CNO
8717,2015-11-05 20:13:00,CNO
8714,2015-11-05 20:14:00,CNO
8705,2015-11-05 20:15:00,CNO
8715,2015-11-05 20:16:00,CNO
8709,2015-11-11 20:05:00,PBS
8710,2015-11-11 20:06:00,PBS
Lslash2,2015-11-11 20:07:00,PBS
8702,,PBS
8718,2015-11-11 20:09:00,PBS
Rslash,2015-11-11 20:11:00,PBS
8708,2015-11-11 20:12:00,PBS
8866,2015-11-11 20:14:00,PBS
Lslash1,2015-11-11 20:15:00,PBS
8717,2015-11-11 20:16:00,PBS
8714,2015-11-11 20:18:00,PBS
8705,2015-11-11 20:19:00,PBS
8715,2015-11-11 20:20:00,PBS
8709,2015-11-12 20:12:00,CNO
8710,2015-11-12 20:13:00,CNO
Lslash2,2015-11-12 20:14:00,CNO
8702,,CNO
8718,2015-11-12 20:19:00,CNO
Rslash,2015-11-12 20:20:00,CNO
8708,2015-11-12 20:23:00,CNO
8866,2015-11-12 20:25:00,CNO
Lslash1,2015-11-12 20:27:00,CNO
8717,2015-11-12 20:29:00,CNO
8714,2015-11-12 20:30:00,CNO
8705,2015-11-12 20:32:00,CNO
8715,2015-11-12 20:33:00,CNO
7059,2015-12-13 19:58:00,PBS
7057,2015-12-13 19:59:00,PBS
7648,2015-12-13 20:00:00,PBS
7647,2015-12-13 20:01:00,PBS
8852,2015-12-13 20:02:00,PBS
7059,2015-12-14 19:53:00,CNO
7057,2015-12-14 19:54:00,CNO
7648,2015-12-14 19:56:00,CNO
7647,2015-12-14 19:57:00,CNO
8852,2015-12-14 19:58:00,CNO
